aerolinea,codigo,origen,destino,tipoViaje,tipoDestino,horaSalida,horaLlegada,capacidad,costo,promocion,penalizacion
BoA,101,La Paz,Santa Cruz,Directo,Nacional,600,730,150,89.00,PorTiempo,Ninguna
BoA,102,La Paz,Cochabamba,Directo,Nacional,700,745,120,55.00,Ninguna,Ninguna
BoA,103,La Paz,Sucre,Directo,Nacional,800,855,100,75.00,PorTiempo,Ninguna
BoA,104,La Paz,Tarija,EscalaDirecta,Nacional,900,1020,100,110.00,PorDistancia,Ninguna
BoA,105,La Paz,Potosi,Directo,Nacional,1000,1045,80,65.00,PorTiempo,Ninguna
BoA,106,La Paz,Trinidad,Directo,Nacional,1100,1215,100,95.00,Ninguna,Ninguna
BoA,107,La Paz,Riberalta,Transbordo,Nacional,1200,1400,80,130.00,Ninguna,Ninguna
BoA,108,La Paz,Guayaramerin,Transbordo,Nacional,1300,1500,80,140.00,PorTiempo,Ninguna
BoA,109,La Paz,Cobija,EscalaDirecta,Nacional,1400,1530,80,120.00,Ninguna,Ninguna
EcoJet,110,Santa Cruz,La Paz,Directo,Nacional,600,730,150,89.00,PorDistancia,Ninguna
EcoJet,111,Santa Cruz,Cochabamba,Directo,Nacional,700,800,120,60.00,PorDistancia,Ninguna
EcoJet,112,Santa Cruz,Sucre,Directo,Nacional,800,900,100,70.00,Ninguna,Ninguna
EcoJet,113,Santa Cruz,Tarija,Directo,Nacional,900,1010,100,85.00,PorDistancia,Ninguna
EcoJet,114,Santa Cruz,Potosi,EscalaDirecta,Nacional,1000,1110,80,90.00,Ninguna,Ninguna
EcoJet,115,Santa Cruz,Trinidad,Directo,Nacional,1100,1145,120,55.00,PorDistancia,Ninguna
EcoJet,116,Santa Cruz,Riberalta,Directo,Nacional,1200,1320,100,100.00,PorDistancia,Ninguna
EcoJet,117,Santa Cruz,Guayaramerin,EscalaDirecta,Nacional,1300,1430,80,110.00,PorTiempo,Ninguna
EcoJet,118,Santa Cruz,Cobija,Transbordo,Nacional,1400,1600,80,130.00,Ninguna,Ninguna
Amaszonas,119,Cochabamba,La Paz,Directo,Nacional,600,645,120,55.00,PorDistancia,Ninguna
Amaszonas,120,Cochabamba,Santa Cruz,Directo,Nacional,700,800,120,60.00,PorDistancia,Ninguna
Amaszonas,121,Cochabamba,Sucre,Directo,Nacional,800,845,100,50.00,PorTiempo,Ninguna
Amaszonas,122,Cochabamba,Tarija,Directo,Nacional,900,1000,100,75.00,Ninguna,Ninguna
Amaszonas,123,Cochabamba,Potosi,Directo,Nacional,1000,1040,80,55.00,Ninguna,Ninguna
Amaszonas,124,Cochabamba,Trinidad,EscalaDirecta,Nacional,1100,1230,100,95.00,Ninguna,Ninguna
Amaszonas,125,Cochabamba,Riberalta,Transbordo,Nacional,1200,1400,80,120.00,PorTiempo,Ninguna
Amaszonas,126,Cochabamba,Guayaramerin,Transbordo,Nacional,1300,1500,80,130.00,Ninguna,Ninguna
Amaszonas,127,Cochabamba,Cobija,EscalaDirecta,Nacional,1400,1545,80,115.00,Ninguna,Ninguna
BoA,128,Sucre,La Paz,Directo,Nacional,600,655,100,75.00,PorTiempo,Ninguna
BoA,129,Sucre,Santa Cruz,Directo,Nacional,700,800,100,70.00,Ninguna,Ninguna
BoA,130,Sucre,Cochabamba,Directo,Nacional,800,845,100,50.00,Ninguna,Ninguna
BoA,131,Sucre,Tarija,Directo,Nacional,900,945,100,60.00,PorDistancia,Ninguna
BoA,132,Sucre,Potosi,Directo,Nacional,1000,1025,80,35.00,PorTiempo,Ninguna
BoA,133,Sucre,Trinidad,EscalaDirecta,Nacional,1100,1230,80,95.00,PorDistancia,Ninguna
BoA,134,Sucre,Riberalta,Transbordo,Nacional,1200,1420,80,130.00,Ninguna,Ninguna
EcoJet,135,Tarija,La Paz,EscalaDirecta,Nacional,600,720,100,110.00,Ninguna,Ninguna
EcoJet,136,Tarija,Santa Cruz,Directo,Nacional,700,810,100,85.00,Ninguna,Ninguna
EcoJet,137,Tarija,Cochabamba,Directo,Nacional,800,900,100,75.00,PorDistancia,Ninguna
EcoJet,138,Tarija,Sucre,Directo,Nacional,900,945,100,60.00,PorTiempo,Ninguna
EcoJet,139,Tarija,Potosi,Directo,Nacional,1000,1040,80,55.00,PorDistancia,Ninguna
Amaszonas,140,Potosi,La Paz,Directo,Nacional,600,645,80,65.00,Ninguna,Ninguna
Amaszonas,141,Potosi,Santa Cruz,EscalaDirecta,Nacional,700,820,80,90.00,PorTiempo,Ninguna
Amaszonas,142,Potosi,Cochabamba,Directo,Nacional,800,840,80,55.00,PorTiempo,Ninguna
Amaszonas,143,Potosi,Sucre,Directo,Nacional,900,925,80,35.00,Ninguna,Ninguna
Amaszonas,144,Potosi,Tarija,Directo,Nacional,1000,1040,80,55.00,PorDistancia,Ninguna
BoA,145,Trinidad,La Paz,Directo,Nacional,600,715,100,95.00,Ninguna,Ninguna
BoA,146,Trinidad,Santa Cruz,Directo,Nacional,700,745,120,55.00,Ninguna,Ninguna
BoA,147,Trinidad,Cochabamba,EscalaDirecta,Nacional,800,930,100,95.00,PorDistancia,Ninguna
EcoJet,148,Riberalta,La Paz,Transbordo,Nacional,600,800,80,130.00,Ninguna,Ninguna
EcoJet,149,Riberalta,Santa Cruz,Directo,Nacional,700,820,100,100.00,PorDistancia,Ninguna
EcoJet,150,Guayaramerin,La Paz,Transbordo,Nacional,600,800,80,140.00,PorDistancia,Ninguna
EcoJet,151,Guayaramerin,Santa Cruz,Directo,Nacional,700,830,80,110.00,Ninguna,Ninguna
Amaszonas,152,Cobija,La Paz,EscalaDirecta,Nacional,600,730,80,120.00,PorTiempo,Ninguna
Amaszonas,153,Cobija,Santa Cruz,Transbordo,Nacional,700,900,80,130.00,Ninguna,Ninguna
LATAM,154,La Paz,Lima,Directo,Internacional,600,800,180,210.00,Ninguna,Ninguna
LATAM,155,La Paz,Santiago,Directo,Internacional,700,1000,180,280.00,PorTiempo,Ninguna
LATAM,156,La Paz,Sao Paulo,Directo,Internacional,800,1130,200,350.00,PorDistancia,Ninguna
LATAM,157,La Paz,Buenos Aires,Directo,Internacional,900,1200,180,290.00,PorTiempo,Ninguna
Avianca,158,La Paz,Bogota,Directo,Internacional,1000,1230,160,320.00,PorDistancia,Ninguna
Avianca,159,La Paz,Medellin,EscalaDirecta,Internacional,1100,1400,160,340.00,Ninguna,Ninguna
Avianca,160,La Paz,Panama,EscalaDirecta,Internacional,1200,1530,160,380.00,PorTiempo,Ninguna
American Airlines,161,La Paz,Miami,EscalaDirecta,Internacional,1300,1900,200,520.00,PorDistancia,Ninguna
American Airlines,162,La Paz,New York,Transbordo,Internacional,1400,2200,200,680.00,PorDistancia,Ninguna
American Airlines,163,La Paz,Dallas,Transbordo,Internacional,1500,2100,200,590.00,Ninguna,Ninguna
Iberia,164,La Paz,Madrid,Transbordo,Internacional,2200,1400,250,890.00,Ninguna,Ninguna
Iberia,165,La Paz,Barcelona,Transbordo,Internacional,2300,1500,250,910.00,PorDistancia,Ninguna
Air France,166,La Paz,Paris,Transbordo,Internacional,2100,1300,250,950.00,Ninguna,Ninguna
Copa Airlines,167,La Paz,Panama,Directo,Internacional,800,1100,160,370.00,PorDistancia,Ninguna
Copa Airlines,168,La Paz,San Jose,EscalaDirecta,Internacional,900,1230,160,410.00,Ninguna,Ninguna
Conviasa,169,La Paz,Caracas,Directo,Internacional,700,1000,150,310.00,Ninguna,Ninguna
Aerolineas Argentinas,170,La Paz,Buenos Aires,Directo,Internacional,600,900,180,285.00,PorDistancia,Ninguna
Aerolineas Argentinas,171,La Paz,Cordoba,EscalaDirecta,Internacional,700,1030,150,310.00,PorTiempo,Ninguna
GOL,172,La Paz,Sao Paulo,Directo,Internacional,800,1130,180,340.00,Ninguna,Ninguna
GOL,173,La Paz,Rio de Janeiro,EscalaDirecta,Internacional,900,1300,180,370.00,PorTiempo,Ninguna
Azul,174,La Paz,Belo Horizonte,Transbordo,Internacional,1000,1430,150,360.00,PorTiempo,Ninguna
LATAM,175,Santa Cruz,Lima,Directo,Internacional,600,830,180,230.00,Ninguna,Ninguna
LATAM,176,Santa Cruz,Santiago,Directo,Internacional,700,1030,180,300.00,PorDistancia,Ninguna
LATAM,177,Santa Cruz,Sao Paulo,Directo,Internacional,800,1100,200,320.00,PorTiempo,Ninguna
LATAM,178,Santa Cruz,Buenos Aires,Directo,Internacional,900,1145,180,270.00,Ninguna,Ninguna
LATAM,179,Santa Cruz,Bogota,EscalaDirecta,Internacional,1000,1300,160,340.00,Ninguna,Ninguna
LATAM,180,Santa Cruz,Lima,EscalaDirecta,Internacional,1100,1330,180,245.00,Ninguna,Ninguna
Avianca,181,Santa Cruz,Bogota,Directo,Internacional,600,830,160,310.00,Ninguna,Ninguna
Avianca,182,Santa Cruz,Medellin,EscalaDirecta,Internacional,700,1000,160,330.00,Ninguna,Ninguna
Avianca,183,Santa Cruz,Cali,EscalaDirecta,Internacional,800,1100,150,320.00,PorDistancia,Ninguna
Avianca,184,Santa Cruz,Panama,EscalaDirecta,Internacional,900,1200,160,360.00,Ninguna,Ninguna
American Airlines,185,Santa Cruz,Miami,Directo,Internacional,1000,1530,200,490.00,Ninguna,Ninguna
American Airlines,186,Santa Cruz,New York,Transbordo,Internacional,1100,2000,200,650.00,PorDistancia,Ninguna
American Airlines,187,Santa Cruz,Houston,EscalaDirecta,Internacional,1200,1830,200,560.00,PorTiempo,Ninguna
American Airlines,188,Santa Cruz,Dallas,Transbordo,Internacional,1300,2030,200,580.00,PorDistancia,Ninguna
Iberia,189,Santa Cruz,Madrid,Transbordo,Internacional,2200,1300,250,860.00,Ninguna,Ninguna
Iberia,190,Santa Cruz,Barcelona,Transbordo,Internacional,2300,1400,250,880.00,PorTiempo,Ninguna
Air France,191,Santa Cruz,Paris,Transbordo,Internacional,2100,1200,250,920.00,PorTiempo,Ninguna
KLM,192,Santa Cruz,Amsterdam,Transbordo,Internacional,2000,1300,250,940.00,PorDistancia,Ninguna
Copa Airlines,193,Santa Cruz,Panama,Directo,Internacional,600,900,160,350.00,PorTiempo,Ninguna
Copa Airlines,194,Santa Cruz,San Jose,EscalaDirecta,Internacional,700,1030,150,390.00,PorDistancia,Ninguna
Copa Airlines,195,Santa Cruz,Guatemala City,Transbordo,Internacional,800,1200,150,430.00,Ninguna,Ninguna
Copa Airlines,196,Santa Cruz,Mexico City,Transbordo,Internacional,900,1400,150,480.00,PorTiempo,Ninguna
Aerolineas Argentinas,197,Santa Cruz,Buenos Aires,Directo,Internacional,600,845,180,265.00,Ninguna,Ninguna
Aerolineas Argentinas,198,Santa Cruz,Cordoba,EscalaDirecta,Internacional,700,1000,150,290.00,PorTiempo,Ninguna
Aerolineas Argentinas,199,Santa Cruz,Mendoza,Transbordo,Internacional,800,1130,150,320.00,PorTiempo,Ninguna
GOL,200,Santa Cruz,Sao Paulo,Directo,Internacional,600,830,180,310.00,PorDistancia,Ninguna
GOL,201,Santa Cruz,Rio de Janeiro,Directo,Internacional,700,1000,180,340.00,PorDistancia,Ninguna
GOL,202,Santa Cruz,Porto Alegre,EscalaDirecta,Internacional,800,1100,150,300.00,PorDistancia,Ninguna
